System,Site,Process,Condition,ICM V4.0,ICM V3.1 Surgical,ICM V3.1 Non-surgical,Unique code,APII code
Trauma,Respiratory,Pleura or mediastinum,Chylothorax,13.1.5.4,1.13.1.5.4,2.13.1.5.4,RE22,C03
Trauma,Respiratory,Spinal cord lesions causing resp failure,Cervical cord injury,13.1.6.1,1.13.1.6.1,2.13.1.6.1,NE9,N03
Trauma,Respiratory,Spinal cord lesions causing resp failure,Chronic spinal cord injury,13.1.6.2,1.13.1.6.2,2.13.1.6.2,NE42,N03
Trauma,Respiratory,Chest wall or diaphragm disorders causing resp failure,Flail chest,13.1.7.1,1.13.1.7.1,2.13.1.7.1,RE13,R03
Trauma,Respiratory,Chest wall or diaphragm disorders causing resp failure,Flail sternum,13.1.7.2,1.13.1.7.2,2.13.1.7.2,RE23,R03
Trauma,Respiratory,Chest wall or diaphragm disorders causing resp failure,Multiple rib fractures,13.1.7.3,1.13.1.7.3,2.13.1.7.3,RE49,R03
Trauma,Respiratory,Chest wall or diaphragm disorders causing resp failure,Penetrating injury to chest wall,13.1.7.4,1.13.1.7.4,2.13.1.7.4,RE89,R03
Trauma,Respiratory,Chest wall or diaphragm disorders causing resp failure,Ruptured diaphragm,13.1.7.5,1.13.1.7.5,2.13.1.7.5,RE33,R03
Trauma,Respiratory,Brain lesions causing resp failure,Primary (diffuse) brain injury,13.1.8.1,1.13.1.8.1,2.13.1.8.1,NE54,N03
Trauma,Respiratory,Brain lesions causing resp failure,Traumatic subdural haemorrhage,13.1.8.2,1.13.1.8.2,2.13.1.8.2,NE75,N06
Trauma,Respiratory,Brain lesions causing resp failure,Traumatic subarachnoid haemorrhage,13.1.8.3,1.13.1.8.3,2.13.1.8.3,NE74,N06
Trauma,Respiratory,Brain lesions causing resp failure,Non-accidental injury to brain,13.1.8.4,1.13.1.8.4,2.13.1.8.4,NE28,N03
Trauma,Respiratory,Brain lesions causing resp failure,Skull fracture,13.1.8.5,1.13.1.8.5,2.13.1.8.5,NE70,N03
Trauma,Respiratory,Brain lesions causing resp failure,Extradural haemorrhage,13.1.8.6,1.13.1.8.6,2.13.1.8.6,NE14,N06
Trauma,Respiratory,Brain lesions causing resp failure,Focal brain injury,13.1.8.7,1.13.1.8.7,2.13.1.8.7,NE66,N03
Trauma,Respiratory,Brain lesions causing resp failure,"Intracranial injury, unspecified",13.1.8.8,1.13.1.8.8,2.13.1.8.8,NE68,N03
Trauma,Cardiovascular,Coronary arteries,Traumatic damage to coronary arteries,13.2.1.1,1.13.2.1.1,2.13.2.1.1,CA136,C03
Trauma,Cardiovascular,Coronary arteries,Instrumental damage to coronary arteries,13.2.1.2,1.13.2.1.2,2.13.2.1.2,CA65,C03
Trauma,Cardiovascular,Great veins,Superior vena caval damage,13.2.10.1,1.13.2.10.1,2.13.2.10.1,CA92,C03
Trauma,Cardiovascular,Great veins,Inferior vena caval damage,13.2.10.2,1.13.2.10.2,2.13.2.10.2,CA63,C03
Trauma,Cardiovascular,Pulmonary vasculature,Traumatic damage to pulmonary vessels,13.2.11.1,1.13.2.11.1,2.13.2.11.1,RE39,R03
Trauma,Cardiovascular,Pulmonary vasculature,Instrumental damage to pulmonary vessels,13.2.11.2,1.13.2.11.2,2.13.2.11.2,RE25,R03
Trauma,Cardiovascular,Uterine or ovarian vessels,Traumatic damage to uterine vessels,13.2.12.1,1.13.2.12.1,2.13.2.12.1,GE91,K03
Trauma,Cardiovascular,Uterine or ovarian vessels,Instrumental damage to uterine vessels,13.2.12.2,1.13.2.12.2,2.13.2.12.2,GE92,K03
Trauma,Cardiovascular,Uterine or ovarian vessels,Traumatic damage to ovarian vessels,13.2.12.3,1.13.2.12.3,2.13.2.12.3,GE93,K03
Trauma,Cardiovascular,Uterine or ovarian vessels,Instrumental damage to ovarian vessels,13.2.12.4,1.13.2.12.4,2.13.2.12.4,GE94,K03
Trauma,Cardiovascular,Myocardium or cardiac chambers,Myocardial contusion,13.2.2.1,1.13.2.2.1,2.13.2.2.1,CA134,C03
Trauma,Cardiovascular,Myocardium or cardiac chambers,Instrumental damage to myocardium,13.2.2.2,1.13.2.2.2,2.13.2.2.2,CA68,C03
Trauma,Cardiovascular,Myocardium or cardiac chambers,Traumatic perforation of myocardial wall,13.2.2.3,1.13.2.2.3,2.13.2.2.3,CA137,C03
Trauma,Cardiovascular,Myocardium or cardiac chambers,Traumatic haemopericardium or tamponade,13.2.2.4,1.13.2.2.4,2.13.2.2.4,CA177,C03
Trauma,Cardiovascular,Myocardium or cardiac chambers,Traumatic papillary muscle rupture,13.2.2.5,1.13.2.2.5,2.13.2.2.5,CA175,C03
Trauma,Cardiovascular,Myocardium or cardiac chambers,Electrocution,13.2.2.6,1.13.2.2.6,2.13.2.2.6,CA162,C03
Trauma,Cardiovascular,Heart valves,Trauma to aortic valve,13.2.3.1,1.13.2.3.1,2.13.2.3.1,CA109,C03
Trauma,Cardiovascular,Heart valves,Trauma to mitral valve,13.2.3.2,1.13.2.3.2,2.13.2.3.2,CA110,C03
Trauma,Cardiovascular,Heart valves,Trauma to pulmonary valve,13.2.3.3,1.13.2.3.3,2.13.2.3.3,CA111,C03
Trauma,Cardiovascular,Heart valves,Trauma to tricuspid valve,13.2.3.4,1.13.2.3.4,2.13.2.3.4,CA112,C03
Trauma,Cardiovascular,Heart valves,Instrumental damage to heart valves,13.2.3.5,1.13.2.3.5,2.13.2.3.5,CA66,C03
Trauma,Cardiovascular,Heart valves,Traumatic papillary muscle rupture,13.2.3.6,1.13.2.3.6,2.13.2.3.6,CA175,C03
Trauma,Cardiovascular,Thoracic aorta,"Traumatic dissection, perforation or rupture of thoracic aorta",13.2.4.1,1.13.2.4.1,2.13.2.4.1,CA187,C03
Trauma,Cardiovascular,Thoracic aorta,Instrumental damage to thoracic aorta,13.2.4.2,1.13.2.4.2,2.13.2.4.2,CA188,C03
Trauma,Cardiovascular,Abdominal aorta,Traumatic dissection or rupture of abdominal aorta,13.2.5.1,1.13.2.5.1,2.13.2.5.1,CA170,C03
Trauma,Cardiovascular,Abdominal aorta,Instrumental damage to abdominal aorta,13.2.5.2,1.13.2.5.2,2.13.2.5.2,CA171,C03
Trauma,Cardiovascular,Abdominal aorta,Traumatic aorto-enteric fistula,13.2.5.3,1.13.2.5.3,2.13.2.5.3,CA135,C03
Trauma,Cardiovascular,Abdominal aorta,Traumatic aorto-caval fistula,13.2.5.4,1.13.2.5.4,2.13.2.5.4,CA96,C03
Trauma,Cardiovascular,Iliac vessels,Instrumental damage to iliac vessels,13.2.6.1,1.13.2.6.1,2.13.2.6.1,CA174,C03
Trauma,Cardiovascular,Splanchnic or renal vessels,Traumatic damage to renal vessels,13.2.7.1,1.13.2.7.1,2.13.2.7.1,GE69,K03
Trauma,Cardiovascular,Splanchnic or renal vessels,Traumatic damage to splanchnic vessels,13.2.7.2,1.13.2.7.2,2.13.2.7.2,GA145,G03
Trauma,Cardiovascular,Splanchnic or renal vessels,Instrumental damage to renal vessels,13.2.7.3,1.13.2.7.3,2.13.2.7.3,GE95,K03
Trauma,Cardiovascular,Splanchnic or renal vessels,Instrumental damage to splanchnic vessels,13.2.7.4,1.13.2.7.4,2.13.2.7.4,GA206,G03
Trauma,Cardiovascular,Splanchnic or renal vessels,Traumatic damage to hepatic vessels,13.2.7.5,1.13.2.7.5,2.13.2.7.5,GA216,G03
Trauma,Cardiovascular,Splanchnic or renal vessels,Instrumental damage to hepatic vessels,13.2.7.6,1.13.2.7.6,2.13.2.7.6,GA217,G03
Trauma,Cardiovascular,Neck or extracranial vessels,Traumatic rupture or puncture of carotid or vertebral artery,13.2.8.1,1.13.2.8.1,2.13.2.8.1,NE87,C03
Trauma,Cardiovascular,Neck or extracranial vessels,Instrumental damage to carotid or vertebral artery,13.2.8.2,1.13.2.8.2,2.13.2.8.2,NE19,C03
Trauma,Cardiovascular,Neck or extracranial vessels,Traumatic carotid or vertebral artery aneurysm or dissection,13.2.8.3,1.13.2.8.3,2.13.2.8.3,NE90,C03
Trauma,Cardiovascular,Limb or limb girdle vessels,Traumatic rupture or puncture of upper limb artery,13.2.9.1,1.13.2.9.1,2.13.2.9.1,CA118,C03
Trauma,Cardiovascular,Limb or limb girdle vessels,Traumatic rupture or puncture of lower limb artery,13.2.9.2,1.13.2.9.2,2.13.2.9.2,CA117,C03
Trauma,Cardiovascular,Limb or limb girdle vessels,Instrumental damage to limb artery,13.2.9.3,1.13.2.9.3,2.13.2.9.3,CA67,C03
Trauma,Gastrointestinal,Mouth or pharynx,"Trauma to mouth, mandible, pharynx or facial bones",13.3.1.1,1.13.3.1.1,2.13.3.1.1,NE50,R03
Trauma,Gastrointestinal,Abdominal wall or peritoneum,Trauma to abdominal wall,13.3.10.1,1.13.3.10.1,2.13.3.10.1,MU34,G03
Trauma,Gastrointestinal,Abdominal wall or peritoneum,Ruptured diaphragm,13.3.10.2,1.13.3.10.2,2.13.3.10.2,RE33,R03
Trauma,Gastrointestinal,Oesophagus,Traumatic rupture of oesophagus,13.3.2.1,1.13.3.2.1,2.13.3.2.1,GA147,G03
Trauma,Gastrointestinal,Oesophagus,Instrumental damage to oesophagus,13.3.2.2,1.13.3.2.2,2.13.3.2.2,GA59,G03
Trauma,Gastrointestinal,Oesophagus,Traumatic tracheo-oesophageal fistula,13.3.2.3,1.13.3.2.3,2.13.3.2.3,GA210,R03
Trauma,Gastrointestinal,Oesophagus,Traumatic oesophago-vascular fistula,13.3.2.4,1.13.3.2.4,2.13.3.2.4,GA212,G03
Trauma,Gastrointestinal,Oesophagus,Traumatic oesophago-enteric or oesophago-cutaneous fistula,13.3.2.5,1.13.3.2.5,2.13.3.2.5,GA214,G03
Trauma,Gastrointestinal,Stomach,Traumatic gastric rupture,13.3.3.1,1.13.3.3.1,2.13.3.3.1,GA130,G03
Trauma,Gastrointestinal,Stomach,Instrumental damage to stomach,13.3.3.2,1.13.3.3.2,2.13.3.3.2,GA62,G03
Trauma,Gastrointestinal,Duodenum,Traumatic duodenal rupture,13.3.4.1,1.13.3.4.1,2.13.3.4.1,GA146,G03
Trauma,Gastrointestinal,Duodenum,Instrumental damage to duodenum,13.3.4.2,1.13.3.4.2,2.13.3.4.2,GA138,G03
Trauma,Gastrointestinal,Duodenum,Trauma related duodeno-vascular fistula,13.3.4.3,1.13.3.4.3,2.13.3.4.3,GA192,G03
Trauma,Gastrointestinal,Duodenum,Trauma related duodenal fistula,13.3.4.4,1.13.3.4.4,2.13.3.4.4,GA194,G03
Trauma,Gastrointestinal,Small bowel,Traumatic perforation of small bowel,13.3.5.1,1.13.3.5.1,2.13.3.5.1,GA133,G03
Trauma,Gastrointestinal,Small bowel,Instrumental damage to small bowel,13.3.5.2,1.13.3.5.2,2.13.3.5.2,GA61,G03
Trauma,Gastrointestinal,Small bowel,Trauma related entero-enteric or entero-cutaneous fistula,13.3.5.3,1.13.3.5.3,2.13.3.5.3,GA196,G03
Trauma,Gastrointestinal,"Large bowel, rectum or anus",Traumatic perforation or rupture of large bowel,13.3.6.1,1.13.3.6.1,2.13.3.6.1,GA131,G03
Trauma,Gastrointestinal,"Large bowel, rectum or anus",Instrumental damage to large bowel,13.3.6.2,1.13.3.6.2,2.13.3.6.2,GA57,G03
Trauma,Gastrointestinal,"Large bowel, rectum or anus",Trauma related large bowel fistula,13.3.6.3,1.13.3.6.3,2.13.3.6.3,GA198,G03
Trauma,Gastrointestinal,"Large bowel, rectum or anus","Non-accidental injury to large bowel, rectum or anus",13.3.6.4,1.13.3.6.4,2.13.3.6.4,GA84,G03
Trauma,Gastrointestinal,Liver or biliary tree,Traumatic rupture or laceration of liver,13.3.7.1,1.13.3.7.1,2.13.3.7.1,GA148,G03
Trauma,Gastrointestinal,Liver or biliary tree,Traumatic perforation or rupture of biliary tree or gall bladder,13.3.7.2,1.13.3.7.2,2.13.3.7.2,GA204,G03
Trauma,Gastrointestinal,Liver or biliary tree,Instrumental damage to liver or biliary tree,13.3.7.3,1.13.3.7.3,2.13.3.7.3,GA58,G03
Trauma,Gastrointestinal,Liver or biliary tree,Trauma related biliary fistula,13.3.7.4,1.13.3.7.4,2.13.3.7.4,GA200,G03
Trauma,Gastrointestinal,Liver or biliary tree,Traumatic damage to hepatic vessels,13.3.7.5,1.13.3.7.5,2.13.3.7.5,GA216,G03
Trauma,Gastrointestinal,Liver or biliary tree,Instrumental damage to hepatic vessels,13.3.7.6,1.13.3.7.6,2.13.3.7.6,GA217,G03
Trauma,Gastrointestinal,Spleen,Traumatic rupture or laceration of spleen,13.3.8.1,1.13.3.8.1,2.13.3.8.1,GA149,G03
Trauma,Gastrointestinal,Spleen,Instrumental damage to spleen,13.3.8.2,1.13.3.8.2,2.13.3.8.2,GA184,G03
Trauma,Gastrointestinal,Pancreas,Traumatic pancreatitis or traumatic damage to pancreas,13.3.9.1,1.13.3.9.1,2.13.3.9.1,GA132,G03
Trauma,Gastrointestinal,Pancreas,Instrumental damage to pancreatic duct,13.3.9.2,1.13.3.9.2,2.13.3.9.2,GA60,G03
Trauma,Gastrointestinal,Pancreas,Trauma related pancreatic fistula,13.3.9.3,1.13.3.9.3,2.13.3.9.3,GA190,G03
Trauma,Neurological (incl eyes),"Head, neck (extracranial) or eyes","Trauma to mouth, mandible, pharynx or facial bones",13.4.1.1,1.13.4.1.1,2.13.4.1.1,NE50,R03
Trauma,Neurological (incl eyes),"Head, neck (extracranial) or eyes",Ocular trauma,13.4.1.2,1.13.4.1.2,2.13.4.1.2,NE51,N03
Trauma,Neurological (incl eyes),"Head, neck (extracranial) or eyes",Traumatic carotid or vertebral artery aneurysm or dissection,13.4.1.3,1.13.4.1.3,2.13.4.1.3,NE90,C03
Trauma,Neurological (incl eyes),"Brain, CSF, meninges or skull vault",Primary (diffuse) brain injury,13.4.2.1,1.13.4.2.1,2.13.4.2.1,NE54,N03
Trauma,Neurological (incl eyes),"Brain, CSF, meninges or skull vault",Traumatic subdural haemorrhage,13.4.2.2,1.13.4.2.2,2.13.4.2.2,NE75,N06
Trauma,Neurological (incl eyes),"Brain, CSF, meninges or skull vault",Traumatic subarachnoid haemorrhage,13.4.2.3,1.13.4.2.3,2.13.4.2.3,NE74,N06
Trauma,Neurological (incl eyes),"Brain, CSF, meninges or skull vault",Non-accidental injury to brain,13.4.2.4,1.13.4.2.4,2.13.4.2.4,NE28,N03
Trauma,Neurological (incl eyes),"Brain, CSF, meninges or skull vault",Skull fracture,13.4.2.5,1.13.4.2.5,2.13.4.2.5,NE70,N03
Trauma,Neurological (incl eyes),"Brain, CSF, meninges or skull vault",Extradural haemorrhage,13.4.2.6,1.13.4.2.6,2.13.4.2.6,NE14,N06
Trauma,Neurological (incl eyes),"Brain, CSF, meninges or skull vault",Focal brain injury,13.4.2.7,1.13.4.2.7,2.13.4.2.7,NE66,N03
Trauma,Neurological (incl eyes),"Brain, CSF, meninges or skull vault","Intracranial injury, unspecified",13.4.2.8,1.13.4.2.8,2.13.4.2.8,NE68,N03
Trauma,Neurological (incl eyes),Spinal cord,Cervical cord injury,13.4.3.1,1.13.4.3.1,2.13.4.3.1,NE9,N03
Trauma,Neurological (incl eyes),Spinal cord,Thoracic cord injury,13.4.3.2,1.13.4.3.2,2.13.4.3.2,NE37,N03
Trauma,Neurological (incl eyes),Spinal cord,Lumbar cord or cauda equina injury,13.4.3.3,1.13.4.3.3,2.13.4.3.3,NE13,N03
Trauma,Neurological (incl eyes),Spinal cord,Chronic spinal cord injury,13.4.3.4,1.13.4.3.4,2.13.4.3.4,NE42,N03
Trauma,Neurological (incl eyes),Peripheral nervous system,Brachial plexus injury,13.4.4.1,1.13.4.4.1,2.13.4.4.1,NE39,N03
Trauma,Neurological (incl eyes),Peripheral nervous system,Lumbar plexus injury,13.4.4.2,1.13.4.4.2,2.13.4.4.2,NE20,N03
Trauma,Genito-urinary,Kidney or ureter,Traumatic renal rupture,13.5.1.1,1.13.5.1.1,2.13.5.1.1,GE73,K03
Trauma,Genito-urinary,Kidney or ureter,Traumatic disruption of ureter,13.5.1.2,1.13.5.1.2,2.13.5.1.2,GE71,K03
Trauma,Genito-urinary,Kidney or ureter,Traumatic damage to renal vessels,13.5.1.3,1.13.5.1.3,2.13.5.1.3,GE69,K03
Trauma,Genito-urinary,Kidney or ureter,Instrumental damage to kidney or ureter,13.5.1.4,1.13.5.1.4,2.13.5.1.4,GE61,K03
Trauma,Genito-urinary,Kidney or ureter,Instrumental damage to renal vessels,13.5.1.5,1.13.5.1.5,2.13.5.1.5,GE95,K03
Trauma,Genito-urinary,Bladder or urethra,Traumatic perforation or rupture of bladder,13.5.2.1,1.13.5.2.1,2.13.5.2.1,GE72,K03
Trauma,Genito-urinary,Bladder or urethra,Traumatic perforation or rupture of urethra,13.5.2.2,1.13.5.2.2,2.13.5.2.2,GE70,K03
Trauma,Genito-urinary,Bladder or urethra,Instrumental damage to bladder or urethra,13.5.2.3,1.13.5.2.3,2.13.5.2.3,GE27,K03
Trauma,Genito-urinary,Bladder or urethra,Trauma related bladder fistula,13.5.2.4,1.13.5.2.4,2.13.5.2.4,GE79,K03
Trauma,Genito-urinary,Bladder or urethra,Trauma related urethral fistula,13.5.2.5,1.13.5.2.5,2.13.5.2.5,GE89,K03
Trauma,Genito-urinary,"Ovary, fallopian tubes, uterus or genitalia (non-obs)",Traumatic perforation or rupture of uterus,13.5.3.1,1.13.5.3.1,2.13.5.3.1,GE87,K03
Trauma,Genito-urinary,"Ovary, fallopian tubes, uterus or genitalia (non-obs)","Instrumental damage to uterus, ovaries or fallopian tubes",13.5.3.2,1.13.5.3.2,2.13.5.3.2,GE62,K03
Trauma,Genito-urinary,"Ovary, fallopian tubes, uterus or genitalia (non-obs)",Non-accidental injury to female genitalia ,13.5.3.3,1.13.5.3.3,2.13.5.3.3,GE33,K03
Trauma,Genito-urinary,"Ovary, fallopian tubes, uterus or genitalia (non-obs)",Traumatic damage to uterine vessels,13.5.3.4,1.13.5.3.4,2.13.5.3.4,GE91,K03
Trauma,Genito-urinary,"Ovary, fallopian tubes, uterus or genitalia (non-obs)",Instrumental damage to uterine vessels,13.5.3.5,1.13.5.3.5,2.13.5.3.5,GE92,K03
Trauma,Genito-urinary,"Ovary, fallopian tubes, uterus or genitalia (non-obs)",Traumatic damage to ovarian vessels,13.5.3.6,1.13.5.3.6,2.13.5.3.6,GE93,K03
Trauma,Genito-urinary,"Ovary, fallopian tubes, uterus or genitalia (non-obs)",Instrumental damage to ovarian vessels,13.5.3.7,1.13.5.3.7,2.13.5.3.7,GE94,K03
Trauma,Genito-urinary,"Ovary, fallopian tubes, uterus or genitalia (obs)",Traumatic perforation or rupture of uterus,13.5.4.1,1.13.5.4.1,2.13.5.4.1,GE87,K03
Trauma,Genito-urinary,"Ovary, fallopian tubes, uterus or genitalia (obs)","Instrumental damage to uterus, ovaries or fallopian tubes",13.5.4.2,1.13.5.4.2,2.13.5.4.2,GE62,K03
Trauma,Genito-urinary,"Testes, prostate or penis","Traumatic damage to testes, prostrate or penis",13.5.5.1,1.13.5.5.1,2.13.5.5.1,GE52,K03
Trauma,Genito-urinary,"Testes, prostate or penis","Instrumental damage to testes, prostrate or penis",13.5.5.2,1.13.5.5.2,2.13.5.5.2,GE26,K03
Trauma,Genito-urinary,"Testes, prostate or penis",Non-accidental injury to male genitalia,13.5.5.3,1.13.5.5.3,2.13.5.5.3,GE34,K03
Trauma,Musculoskeletal,Vertebral column,Cervical spine fracture or ligamentous injury,13.6.1.1,1.13.6.1.1,2.13.6.1.1,MU26,N03
Trauma,Musculoskeletal,Vertebral column,Thoracic spine fracture or ligamentous injury,13.6.1.2,1.13.6.1.2,2.13.6.1.2,MU33,N03
Trauma,Musculoskeletal,Vertebral column,Lumbar spine fracture or ligamentous injury,13.6.1.3,1.13.6.1.3,2.13.6.1.3,MU31,N03
Trauma,Musculoskeletal,Vertebral column,Haemorrhage from or haematoma of vertebral column,13.6.1.4,1.13.6.1.4,2.13.6.1.4,MU4,C03
Trauma,Musculoskeletal,"Pelvis, long bones or joints",Pelvic fracture,13.6.2.1,1.13.6.2.1,2.13.6.2.1,MU39,C03
Trauma,Musculoskeletal,"Pelvis, long bones or joints",Single long bone fracture,13.6.2.2,1.13.6.2.2,2.13.6.2.2,MU32,C03
Trauma,Musculoskeletal,"Pelvis, long bones or joints",Multiple long bone fractures,13.6.2.3,1.13.6.2.3,2.13.6.2.3,MU7,C03
Trauma,Musculoskeletal,"Pelvis, long bones or joints","Non-accidental injury to pelvis, long bones or joints",13.6.2.4,1.13.6.2.4,2.13.6.2.4,MU10,C03
Trauma,Musculoskeletal,"Pelvis, long bones or joints","Haemorrhage from or haematoma of pelvis, long bones or joints",13.6.2.5,1.13.6.2.5,2.13.6.2.5,MU37,C03
Trauma,Musculoskeletal,Muscles or connective tissue,Crush injury,13.6.3.1,1.13.6.3.1,2.13.6.3.1,MU29,C03
Trauma,Musculoskeletal,Muscles or connective tissue,Trauma related compartment syndrome,13.6.3.2,1.13.6.3.2,2.13.6.3.2,MU46,C03
Trauma,Musculoskeletal,Muscles or connective tissue,Non-accidental injury to muscles or connective tissue,13.6.3.3,1.13.6.3.3,2.13.6.3.3,MU9,C03
Trauma,Musculoskeletal,Muscles or connective tissue,Amputation of limb,13.6.3.4,1.13.6.3.4,2.13.6.3.4,MU35,C03
Trauma,Musculoskeletal,Muscles or connective tissue,Haemorrhage from or haematoma of muscle or connective tissue,13.6.3.5,1.13.6.3.5,2.13.6.3.5,MU38,C03
Trauma,Dermatological,Skin,Degloving injury,13.7.1.1,1.13.7.1.1,2.13.7.1.1,MU30,C03
Trauma,Dermatological,Skin,Non-accidental injury to skin,13.7.1.2,1.13.7.1.2,2.13.7.1.2,DE8,C03
Trauma,Dermatological,Skin,Electrical burns,13.7.1.3,1.13.7.1.3,2.13.7.1.3,DE3,NCA
Trauma,Dermatological,Skin,Dry heat burns,13.7.1.4,1.13.7.1.4,2.13.7.1.4,DE17,NCA
Trauma,Dermatological,Skin,Steam burns or scalds,13.7.1.5,1.13.7.1.5,2.13.7.1.5,DE13,NCA
Trauma,Dermatological,Skin,Chemical burns,13.7.1.6,1.13.7.1.6,2.13.7.1.6,DE18,NCA
Cardiovascular,Coronary arteries,Haemorrhage,Haemorrhage from coronary arteries,2.1.15.1,1.2.1.15.1,2.2.1.15.1,CA45,C23
Cardiovascular,Coronary arteries,Infection,Mediastinitis,2.1.27.1,1.2.1.27.1,2.2.1.27.1,CA81,C01
Cardiovascular,Coronary arteries,Inflammation,Kawasaki syndrome,2.1.28.1,1.2.1.28.1,2.2.1.28.1,CA72,C09
Cardiovascular,Coronary arteries,Obstruction,Acute myocardial infarction,2.1.30.1,1.2.1.30.1,2.2.1.30.1,CA8,C10
Cardiovascular,Coronary arteries,Obstruction,Acute coronary syndrome (acute crescendo or unstable angina),2.1.30.2,1.2.1.30.2,2.2.1.30.2,CA7,C09
Cardiovascular,Coronary arteries,Obstruction,Chronic angina,2.1.30.3,1.2.1.30.3,2.2.1.30.3,CA23,C09
Cardiovascular,Coronary arteries,Obstruction,CABG for acute myocardial infarction,2.1.30.4,1.2.1.30.4,2.2.1.30.4,CA19,NCA
Cardiovascular,Coronary arteries,Obstruction,CABG for acute coronary syndrome (acute crescendo or unstable angina),2.1.30.5,1.2.1.30.5,2.2.1.30.5,CA18,NCA
Cardiovascular,Coronary arteries,Obstruction,CABG for chronic angina,2.1.30.6,1.2.1.30.6,2.2.1.30.6,CA20,NCA
Cardiovascular,Coronary arteries,Obstruction,Myocardial ischaemia without angina,2.1.30.7,1.2.1.30.7,2.2.1.30.7,CA82,C09
Cardiovascular,Coronary arteries,Obstruction,CABG for asymptomatic artery disease,2.1.30.8,1.2.1.30.8,2.2.1.30.8,CA156,NCA
Cardiovascular,Coronary arteries,Trauma,Traumatic damage to coronary arteries,2.1.56.1,1.2.1.56.1,2.2.1.56.1,CA136,C03
Cardiovascular,Coronary arteries,Trauma,Instrumental damage to coronary arteries,2.1.56.2,1.2.1.56.2,2.2.1.56.2,CA65,C03
Cardiovascular,Coronary arteries,Non-traumatic fistula,Coronary sinus fistula,2.1.57.1,1.2.1.57.1,2.2.1.57.1,CA34,C14
Cardiovascular,Coronary arteries,Congenital or acquired deformity or abnormality,Coronary sinus fistula,2.1.8.1,1.2.1.8.1,2.2.1.8.1,CA34,C14
Cardiovascular,Coronary arteries,Congenital or acquired deformity or abnormality,Anomalous coronary artery,2.1.8.2,1.2.1.8.2,2.2.1.8.2,CA10,C14
Cardiovascular,Limb or limb girdle vessels,Haemorrhage,Haemorrhage from limb vessel,2.10.15.1,1.2.10.15.1,2.2.10.15.1,CA17,C23
Cardiovascular,Limb or limb girdle vessels,Infection,Infected vascular prosthesis,2.10.27.1,1.2.10.27.1,2.2.10.27.1,CA147,C01
Cardiovascular,Limb or limb girdle vessels,Inflammation,Large vessel arteritis,2.10.28.1,1.2.10.28.1,2.2.10.28.1,CA148,C12
Cardiovascular,Limb or limb girdle vessels,Obstruction,Upper limb artery stenosis or occlusion,2.10.30.1,1.2.10.30.1,2.2.10.30.1,CA121,C12
Cardiovascular,Limb or limb girdle vessels,Obstruction,Lower limb artery stenosis or occlusion,2.10.30.2,1.2.10.30.2,2.2.10.30.2,CA76,C12
Cardiovascular,Limb or limb girdle vessels,Obstruction,Upper limb embolus,2.10.30.3,1.2.10.30.3,2.2.10.30.3,CA122,C13
Cardiovascular,Limb or limb girdle vessels,Obstruction,Lower limb embolus,2.10.30.4,1.2.10.30.4,2.2.10.30.4,CA77,C13
Cardiovascular,Limb or limb girdle vessels,Trauma,Traumatic rupture or puncture of upper limb artery,2.10.56.1,1.2.10.56.1,2.2.10.56.1,CA118,C03
Cardiovascular,Limb or limb girdle vessels,Trauma,Traumatic rupture or puncture of lower limb artery,2.10.56.2,1.2.10.56.2,2.2.10.56.2,CA117,C03
Cardiovascular,Limb or limb girdle vessels,Trauma,Instrumental damage to limb artery,2.10.56.3,1.2.10.56.3,2.2.10.56.3,CA67,C03
Cardiovascular,Limb or limb girdle vessels,"Non-traumatic aneurysm, dissection or rupture",Non-traumatic rupture of upper limb artery,2.10.57.1,1.2.10.57.1,2.2.10.57.1,CA179,C26
Cardiovascular,Limb or limb girdle vessels,"Non-traumatic aneurysm, dissection or rupture",Non-traumatic rupture of lower limb artery,2.10.57.2,1.2.10.57.2,2.2.10.57.2,CA180,C26
Cardiovascular,Limb or limb girdle vessels,"Non-traumatic aneurysm, dissection or rupture",Lower limb artery aneurysm or dissection,2.10.57.3,1.2.10.57.3,2.2.10.57.3,CA75,C12
Cardiovascular,Limb or limb girdle vessels,"Non-traumatic aneurysm, dissection or rupture",Upper limb artery aneurysm or dissection,2.10.57.4,1.2.10.57.4,2.2.10.57.4,CA120,C12
Cardiovascular,Great veins,Infection,Infected thrombophlebitis of the great veins,2.11.27.1,1.2.11.27.1,2.2.11.27.1,CA60,C01
Cardiovascular,Great veins,Infection,Infected intravenous catheter in the great veins,2.11.27.2,1.2.11.27.2,2.2.11.27.2,CA58,C01
Cardiovascular,Great veins,Obstruction,Superior vena caval obstruction or thrombosis,2.11.30.1,1.2.11.30.1,2.2.11.30.1,CA101,C26
Cardiovascular,Great veins,Obstruction,Inferior vena caval obstruction or thrombosis,2.11.30.2,1.2.11.30.2,2.2.11.30.2,CA64,C26
Cardiovascular,Great veins,Trauma,Superior vena caval damage,2.11.56.1,1.2.11.56.1,2.2.11.56.1,CA92,C03
Cardiovascular,Great veins,Trauma,Inferior vena caval damage,2.11.56.2,1.2.11.56.2,2.2.11.56.2,CA63,C03
Cardiovascular,"Peripheral vasculature, shock or hypertension",Hypertension,Accelerated or malignant hypertension,2.12.19.1,1.2.12.19.1,2.2.12.19.1,CA6,C16
